phrase,category,doc_count,occurrence_count,mean_score,total_score
loss use continuous,Emerging/Unmapped,1,1,0.1703,0.1703
weeks examples main,Emerging/Unmapped,1,1,0.1699,0.1699
stability domain relates,Emerging/Unmapped,1,1,0.1697,0.1697
8r principle termed,Emerging/Unmapped,1,1,0.1693,0.1693
options,Emerging/Unmapped,1,1,0.1687,0.1687
different phases preparedness,Emerging/Unmapped,1,1,0.1684,0.1684
flow network 360,Emerging/Unmapped,1,1,0.1679,0.1679
institutional frameworks creating,Emerging/Unmapped,1,1,0.1669,0.1669
shelter slept cars,Emerging/Unmapped,1,1,0.1655,0.1655
duration performance deviations,Emerging/Unmapped,1,1,0.1653,0.1653
events,Emerging/Unmapped,1,1,0.1645,0.1645
recovery,Flexibility,1,1,0.1645,0.1645
recovery,Recoverability,1,1,0.1645,0.1645
recovery,Restoration Speed,1,1,0.1645,0.1645
recovery,Economic Recovery,1,1,0.1645,0.1645
recovery,Cost-effectiveness,1,1,0.1645,0.1645
recovery,Resource Availability,1,1,0.1645,0.1645
recovery,Sustainability,1,1,0.1645,0.1645
price index ncei,Emerging/Unmapped,1,1,0.164,0.164
electric power telecommunication,Emerging/Unmapped,1,1,0.1638,0.1638
project international day,Emerging/Unmapped,1,1,0.1638,0.1638
entity concrete mappable,Emerging/Unmapped,1,1,0.1635,0.1635
disseminated,Emerging/Unmapped,1,1,0.163,0.163
sys tem event,Emerging/Unmapped,1,1,0.1624,0.1624
transformation different,Emerging/Unmapped,1,1,0.1621,0.1621
1980 april 2024,Emerging/Unmapped,1,1,0.1601,0.1601
spe framework developed,Emerging/Unmapped,1,1,0.1594,0.1594
challenges design development,Emerging/Unmapped,1,1,0.1588,0.1588
2018 sherrieb,Emerging/Unmapped,1,1,0.1568,0.1568
validation fairness aware,Equity,1,1,0.1567,0.1567
essential prerequisite staying,Emerging/Unmapped,1,1,0.1561,0.1561
create urgent need,Emerging/Unmapped,1,1,0.1552,0.1552
highhighmediumlowrobustness100 totaldisruptiont61t51t41t31t21t0 t1,Robustness,1,1,0.1552,0.1552
enable service providers,Emerging/Unmapped,1,1,0.154,0.154
